Flow IAT Mean,Tot Bwd Pkts,Fwd Header Len,Fwd IAT Std,Init Bwd Win Byts,Subflow Fwd Pkts,Bwd Header Len,ECE Flag Cnt,Flow Duration,Subflow Fwd Byts,Fwd Pkt Len Max,Bwd IAT Std,Subflow Bwd Byts,CWE Flag Count,SYN Flag Cnt,Pkt Len Var,Pkt Len Std,Flow IAT Std,Bwd Pkts/s,Pkt Len Max,Pkt Size Avg,Active Mean,Flow IAT Max,RST Flag Cnt,Idle Std,Bwd Pkt Len Max,Fwd IAT Mean,Bwd IAT Min,Fwd Pkt Len Std,Active Std,Fwd IAT Min,Bwd IAT Mean,Idle Max,Idle Min,Pkt Len Mean,Pkt Len Min,Bwd Pkt Len Std,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkts/s,Bwd Seg Size Avg,Fwd Seg Size Avg,Dst Port,Fwd IAT Max,Down/Up Ratio,Fwd Seg Size Min,Init Fwd Win Byts,Fwd Pkt Len Min,Bwd IAT Max,Fwd Act Data Pkts,PSH Flag Cnt,Protocol,ACK Flag Cnt,Flow IAT Min,Subflow Bwd Pkts,Active Min,Fwd Pkt Len Mean,Fwd PSH Flags,FIN Flag Cnt,Fwd URG Flags,URG Flag Cnt,Active Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Idle Mean,Fwd IAT Tot,TotLen Bwd Pkts
3006981.5,0,60,1001027.5000000002,0,3,0,0,6013963.0,222,74.0,0.0,0,0,0,0.0,0.0,1001027.5,0.0,74,74.0,0.0,4008009.0,0,1949.5,0.0,3006981.5,0.0,0.0,0.0,2005954.0,0.0,2005954.0,2002055.0,74.0,74,0.0,3,222,0.498839118232021,0.0,74.0,9100,4008009.000000001,0.0,20,29200,74.0,0.0,0,0,6,0,2005954.0,0,0.0,74.0,0,1,0,0,0.0,0.0,0.0,0.0,2004004.5,6013963.0,0
1510839.8333333333,0,260,848695.8345333772,0,13,0,0,18130078.0,809,89.0,0.0,0,0,0,59.71597633136095,7.727611295307299,848695.8345333772,0.0,89,62.23076923076923,17185.333333333332,2011886.0,0,858123.4251381033,0.0,1510839.8333333333,0.0,7.727611295307299,7774.063902204274,9895.0,0.0,2000279.0,16319.0,62.23076923076923,60,0.0,13,809,0.7170404892907796,0.0,62.23076923076923,8080,2011886.0,0.0,20,1021,60.0,0.0,13,0,6,0,9895.0,0,6286.0,62.23076923076923,0,1,0,0,23883.0,0.0,0.0,0.0,513969.5,18130078.0,0
0.0,0,40,0.0,0,2,0,0,2021959.0,132,66.0,0.0,0,0,0,0.0,0.0,0.0,0.0,66,66.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66,0.0,2,132,0.98913974022223,0.0,66.0,88,0.0,0.0,20,64240,66.0,0.0,0,0,6,0,0.0,0,0.0,66.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3708.285714285714,0,64,3561.8363126858244,0,8,0,0,25958.0,12112,1514.0,0.0,0,0,0,0.0,0.0,3561.836312685824,0.0,1514,1514.0,0.0,12005.0,0,0.0,0.0,3708.285714285714,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,1514.0,1514,0.0,8,12112,308.1901533246013,0.0,1514.0,22,12005.0,0.0,8,0,1514.0,0.0,8,0,17,0,1008.0,0,0.0,1514.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,25958.0,0
0.0,0,40,0.0,0,2,0,0,4999980.0,134,74.0,0.0,0,0,0,49.0,7.0,0.0,0.0,74,67.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,67.0,60,0.0,2,134,0.4000016000064,0.0,67.0,88,0.0,0.0,20,65535,60.0,0.0,1,0,6,0,0.0,0,0.0,67.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
53965.23809523809,0,344,86358.5377627177,0,43,0,0,2266540.0,65102,1514.0,0.0,0,0,0,0.0,0.0,86358.53776271771,0.0,1514,1514.0,83294.90909090909,596230.0,0,118915.24700430212,0.0,53965.23809523809,0.0,0.0,160262.96223817708,10519.0,0.0,550123.0,5779.0,1514.0,1514,0.0,43,65102,18.97164841564676,0.0,1514.0,22,596230.0,0.0,8,0,1514.0,0.0,43,0,17,0,10519.0,0,5866.0,1514.0,0,1,0,0,585711.0,0.0,0.0,0.0,50110.10526315789,2266540.0,0
0.0,0,20,0.0,0,1,0,0,0.0,60,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60,0.0,1,60,0.0,0.0,60.0,37824,0.0,0.0,20,0,60.0,0.0,1,0,6,0,0.0,0,0.0,60.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,20,0.0,0,1,0,0,0.0,74,74.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,74.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74,0.0,1,74,0.0,0.0,74.0,80,0.0,0.0,20,64480,74.0,0.0,0,0,6,0,0.0,0,0.0,74.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,20,0.0,0,1,0,0,0.0,74,74.0,0.0,0,0,0,0.0,0.0,0.0,0.0,74,74.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74,0.0,1,74,0.0,0.0,74.0,88,0.0,0.0,20,65535,74.0,0.0,0,0,6,0,0.0,0,0.0,74.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,20,0.0,0,1,0,0,0.0,60,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60,0.0,1,60,0.0,0.0,60.0,9164,0.0,0.0,20,1024,60.0,0.0,1,0,6,0,0.0,0,0.0,60.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
